ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,label
train00001,34,blue-collar,married,primary,no,358,yes,no,unknown,23,may,100,4,-1,0,unknown,0
train00002,33,blue-collar,married,secondary,no,-53,yes,no,unknown,20,may,172,1,-1,0,unknown,0
train00003,32,management,single,tertiary,no,207,yes,no,cellular,2,feb,56,1,-1,0,unknown,0
train00004,37,blue-collar,divorced,secondary,no,638,yes,no,cellular,8,may,326,1,326,2,success,0
train00005,33,housemaid,married,secondary,no,826,yes,no,cellular,11,may,256,1,-1,0,unknown,0
train00006,45,blue-collar,married,primary,no,101,yes,no,unknown,12,may,460,5,-1,0,unknown,1
train00007,35,admin.,single,secondary,no,206,yes,no,cellular,30,apr,144,2,-1,0,unknown,0
train00008,33,technician,single,secondary,no,920,yes,no,cellular,21,nov,58,1,122,4,failure,0
train00009,42,blue-collar,married,secondary,no,1958,yes,no,unknown,30,may,124,3,-1,0,unknown,0
train00010,46,services,married,secondary,no,1757,yes,no,unknown,14,may,380,4,-1,0,unknown,0
train00011,35,technician,married,secondary,no,2789,yes,no,cellular,4,sep,256,2,94,1,failure,0
train00012,82,retired,divorced,primary,no,0,no,no,telephone,15,mar,506,2,195,1,other,1
train00013,35,blue-collar,married,secondary,no,4723,yes,no,unknown,16,jun,57,8,-1,0,unknown,0
train00014,49,technician,married,secondary,no,4772,no,no,cellular,18,aug,157,3,-1,0,unknown,0
train00015,40,management,married,tertiary,no,429,yes,no,cellular,6,may,222,2,363,4,failure,0
train00016,36,blue-collar,married,secondary,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,0
train00017,34,admin.,single,secondary,no,181,yes,no,cellular,21,jul,296,1,-1,0,unknown,0
train00018,25,management,single,tertiary,no,1270,yes,no,unknown,13,may,124,2,-1,0,unknown,0
train00019,26,student,single,unknown,no,2503,no,no,cellular,30,apr,121,1,63,2,failure,0
train00020,31,admin.,married,secondary,no,8784,yes,no,unknown,21,may,63,2,-1,0,unknown,0
train00021,52,management,married,tertiary,no,163,no,no,cellular,28,aug,638,6,-1,0,unknown,0
train00022,33,technician,single,secondary,no,2466,yes,no,cellular,21,nov,132,2,-1,0,unknown,0
train00023,37,admin.,married,secondary,no,96,no,no,cellular,5,feb,102,1,182,3,success,0
train00024,45,unknown,divorced,unknown,no,0,no,no,cellular,21,apr,278,3,-1,0,unknown,1
train00025,52,technician,married,tertiary,no,0,no,no,cellular,9,nov,467,3,92,7,failure,1
train00026,49,blue-collar,married,primary,no,512,yes,yes,cellular,21,nov,126,1,-1,0,unknown,0
train00027,51,unemployed,married,tertiary,no,1801,no,no,cellular,2,jul,82,1,77,3,success,0
train00028,38,blue-collar,single,primary,no,378,yes,no,cellular,18,may,169,1,-1,0,unknown,0
train00029,43,services,married,primary,no,2557,yes,no,telephone,15,apr,165,2,327,3,failure,1
train00030,46,management,divorced,tertiary,no,302,no,no,cellular,18,aug,80,13,-1,0,unknown,0
train00031,32,technician,single,tertiary,no,35,no,no,cellular,20,aug,96,8,-1,0,unknown,0
train00032,48,blue-collar,married,primary,no,108,yes,no,telephone,15,may,74,5,367,7,other,0
train00033,36,admin.,single,secondary,no,47,no,yes,cellular,9,jul,36,6,-1,0,unknown,0
