리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
3372216,ma******,2019-08-09 15:12:44.73,"삶에 대해 사유하고 싶은 모든 이, 특히 여성을 위한 책.
기발하고 짜릿하지만 동시에 물거품 같다.
20년이 흐른 지금에도 공감할 여지가 많다는 것은, 아직 우리 사회가 나아갈 길이 멀단 뜻일테다.",재밌어요,4
3372340,rh****,2020-04-01 20:05:26.43,모순을 읽고 바로 구매했습니다. 어떻게 92년에 이런 생각을 하셨는지...,고마워요,4
3372194,ki******,2021-09-30 12:53:23.92,1992년에 출간됐다는 게 믿기지 않는 책.,공감돼요,4
12100310,ki******,2023-08-23 18:09:12.054967,"제가 20대 초반의 여성, 평소 책에 대한 사전 정보 없이 책을 읽는 습관으로 양귀자 작가님을 책이기에기대하고서 사읽었습니다.
읽으면서 강민주 주인공의 이야기를 보고서 솔직히 전 역겨워 중간중간 책을 덮고싶었어요..
1990년대에 작가가 이런 생각을 할 수 있던 것에서는 앞서 개방된 모습에 대해 부정하고 싶진 않지만
남성들에게 강하게 비판하며 자의식 과잉으로 자신감 넘치는 모습, 남선보다 우위에 있다는 식의 말투와 그에 드러나는 폭력적인 행동들까지 그녀가 비판하고자 한 당시대의 남성들과 다를바가 무엇인지 책을 끝까지 읽고서도 찜찜해 불편했습니다.. 이 책은 다시 보고싶지 않아요",고마워요,2
3372213,77****,2020-04-16 10:53:35.283,너무 재미있어서 술술 읽혀요 양귀자 작가님 사랑합니다,고마워요,4
3372357,vc*****,2020-03-22 22:05:20.48,1992년에 쓰인 것이 믿겨지지 않는 책. 가정폭력을 비롯한 사회적 약자에 대한 폭력에 대해 생각해 볼 수 있습니다.,재밌어요,4
3372200,ky*******,2020-04-01 15:09:04.203,작가님의 혜안이 돋보입니다. 감명깊은 책입니다.,고마워요,4
13432791,fa*******,2024-03-26 15:38:09.35066,이 책의 모든 구절이 좋았지만 역시 제목이 가장 마음에 든다 ‘나는 소망한다 내게 금지된 것을’,최고예요,4
11164321,my********,2023-03-22 07:21:52.264092,세상의 유형 무형의 폭력에 목 끝까지 하고 싶은 말이 차 올라도 반박할 말을 찾지 못하는 모든 이들에게 추천합니다,공감돼요,3
3372274,wi*******,2020-04-05 22:56:27.73,"쉽게읽을수있는 소설이예요
워낙 글솜씨좋아서 지루한부분도 술술 읽히네요
한번만 대화해보고픈 작가님",최고예요,4
14917546,JK*****,2024-10-19 22:12:11.115621,문장이 강렬한만큼 가슴을 더 뛰게만드는 책입니다!,공감돼요,4
14418758,ja******,2024-08-18 20:09:46.72472,그냥 말도 안돼는 미친 페미여자의 이야기정도..,재밌어요,2
10188515,js*****,2022-11-20 21:15:21.696634,"양귀자의 '모순' , 원미동 사람들'에 이어 '나는 소망한다 내게 금지된 것을' 로 다시 한 번 양귀자를 느낀다.",최고예요,4
15377100,st*******,2025-02-14 13:35:45.644075,재미는 있으나 신격화 된 어떤 여성이라는 특징에만 집중되어 맥락 없이 고압적이며 지적이고 자신감 넘치고 돈이 많으며 남성들이 반하는 엄청난 매력을 가졌다는 주인공에 몰입할 수 없었음 하지만 작가가 던지는 말은 충분히 의미깊다,고마워요,4
14097126,dl*****,2024-07-02 22:25:59.047207,시대를 분명하게 앞서간 그래서 마음이 저릿한 그런 책이다. 나는 분명 더 일찍 알 수 있었을 것이다.,최고예요,4
3372193,lt***,2020-04-04 22:27:15.2,"어릴적 재미있게 읽었던 소설이라 시간이 흐른 후 다시 읽게 되었다. 소설을 원작으로 한 영화도 본 기억은 있지만 어땠는지는 워낙 어릴때라 기억나지 않는다. 다른건 둘째치고, 생각보다 다시 읽었음에도 몰입감이 있는 소설이다. 개인적으로 결말이 살짝 아쉽지만 그래도 쉽게 덮을 수 없는 책이다.",,2
15352774,ha******,2025-02-08 22:08:55.520859,"누군가 내게 인생 책을 묻는다면 자신있게 이 책을 추천하고싶다.
작가가 건네는 이야기는 언제나 큰 울림을 준다.",최고예요,4
15212683,ch*****,2025-01-05 18:16:42.113822,잘 산 책입니다 추천해요,최고예요,4
14875834,so*****,2024-10-09 20:26:47.306103,페미니즘에 대해 새롭게 생각하는 계기가 되었습니다. ,재밌어요,4
13958960,gh******,2024-06-12 14:55:11.518639,전자책으로 나와있지 않아서 바로 구매했습니다. 여성이라면 양귀자 소설은 필독하면 좋다고 생각해요.,최고예요,4
15617615,rv*****,2025-04-05 16:16:39.419482,기대중이에요 ㅎㅎㅎ,재밌어요,4
15612504,po******,2025-04-04 09:02:23.016761,후기 좋아서.구입했음,최고예요,4
15598509,dn*******,2025-04-01 13:14:54.009784,모순을 읽고 구매하였습니다 ,최고예요,4
