리뷰번호,회원ID,작성일시,리뷰내용,감정키워드,평점
13403114,by*****,2024-03-22 09:53:09.988933,"유튜브 때문에 갑자기 유명해지긴 했고
제본으로는 구매하고 싶지 않아서
복간 기다렸던 책입니다.

생각보다 빨리 나왔네요
나오자 마자 바로 구매했고 도착하자 마자 읽기 시작했는데
쉽게 잘 읽히네요.
투자 잘하는 법이 주류인 자기계발서에서 모처럼 실생활에 도움이 되는 책인 것 같습니다.
약간 모호한 내용도 있긴 하지만 전체적으로 이해하기 쉽고
익숙한 인물들의 예시가 나오니 흥미가 당깁니다.

내 습관에  다시 돌아보게 되네요
다른 건 몰라도 추천사 이야기처럼 요약하는 힘에 대한 것은
도움이 확실히 됩니다",최고예요,4
13398341,ne******,2024-03-21 20:30:23.789147,"자기계발서 읽는걸 좋아하는데, 30대가 되고나서 후배들에게 사주고 싶은 책의 내용이더라구요.
정말 좋은 사회생활 명언들이 있어서 재출간된 이유가 있더라구요!",집중돼요,4
13398438,yo******,2024-03-21 20:48:14.034405,정체되어 있는듯해서 탈출구가 필요했는데 생각정리가 많이 되었어요 요약정리되는 느낌이 좋네요,추천해요,4
13388499,no****************,2024-03-20 09:58:14.50944,"저 대학 다닐 쯤 나왔던 책이었고, 그 땐 노느라 못읽었는데 다시 복간했다니! 뇌 전문가인 박문호 박사님의 추천이라 완전 기대됩니다♡",최고예요,4
13398703,ss******,2024-03-21 21:32:27.091024,"일류의 조건 정말 읽고 싶었던 책인데 절판되어서 어떻게 구해서 읽을 수 있을까 여기저기 알아보고 있었는데, 정말 좋은 책 다시 내주셔서 감사합니다! ",최고예요,4
13526166,ch*******,2024-04-10 00:02:24.151924,네 재미있었어요. ,추천해요,2
13403461,1y***,2024-03-22 10:47:56.710509,"자칭 자기계발서 덕후라 지금까지 읽어본 자기계발서만 30권 정도는 될 것 같다. 일류의 조건.. 이 책은 종종 독서 커뮤니티에 올라오는 책이라서 궁금했는데 절판이라 매우 아쉬웠음.

이번에 재출간 되었다는 소식 듣고 바아로 구입. 이전에 커뮤니티에서 본 칭찬 일색인 후기들 때문에 기대치가 높았는데, 읽고 나니 왜 그런 평들을 했는지 알 것 같다. 

지금까지 읽은 자기계발서 중 가장 '실용적'이다. 마음을 다잡을 수 있게 해 주는 자기계발서는 많지만 진짜 써먹을 수 있는 얘기까지 해 주는 자기계발서는 흔하지 않다. 이 책은 흔하지 않은 자기계발서이다. 써먹고 싶은 것이 아주 많다. 

일단 빠르게 1회독 했는데, 앞으로 두세 번은 더 읽게 될 듯. (+중고 플미가격이 너무 비싸던데.. 사기 전에 재출간 돼서 다행. 인생은 타이밍~)",도움돼요,4
13554656,ke*******,2024-04-14 16:17:23.015167,실질적으로 도움이 썩 되지는 않네요. 글도 어렵고.,쉬웠어요,1
13526029,bo****,2024-04-10 00:01:26.182077,김호띠입니다. 굿.,집중돼요,1
13403225,sh*****,2024-03-22 10:10:02.033675,우연히 유튜브에서 보고 구매하게 되었는데 실망끼치지 않네요 왜 여기저기서 추천책으로 꼽는지 알겠습니다 읽기 편한데 핵심은 빠짐없이 들어가있어요 자기계발러라면 필독을 권합니다,최고예요,4
13577974,pj*****,2024-04-17 17:31:14.37333,생각보다 내용이 산만하고 근거도 부족한 느낌이에요. 조금 뻔한 내용이라 서점에서 책 한번 대충 훓어보고 사시길 추천드려요. 요약하고 훔친다는 개념은 좋네요.,쉬웠어요,1
13403269,oo************,2024-03-22 10:18:11.740657,진짜 기대했던 책 드디어 도착 ㅠㅠㅠㅠㅠㅠ 벌써 반절 읽었네요.. 진짜 머리를 쾅치는 유익한 내용만 있어서 계속 메모하면서 봤어요. 나만 알고 싶은 책...🤍,집중돼요,4
13635670,le**********************,2024-04-25 23:00:57.053797,흠..........,쉬웠어요,2
13403332,wo*******,2024-03-22 10:27:24.85517,"괜찮은 자기계발서 찾아보다가 우연히 알게 된 책인데, 유명한 책이더라고요?
후기들 보다가 괜찮은 거 같아서 바로 구매했습니다! 배송도 엄청 튼튼하게 박스에 오고  하루만에 빨리 받았네요ㅎㅎ 저는 개인적으로 '동경'을 동경하는 마음 파트가 제일 와 닿았습니다. 주변 사람들한테 추천할만한 책인 거 같아요.",추천해요,4
13397306,li*****,2024-03-21 16:47:17.982625, 재발간을 너무도 기다리던 책이에요 ! ㅎㅎㅎ 드디어 나왔네용 ㅎㅎ ,집중돼요,4
13598031,bo****,2024-04-20 00:00:51.653433,좋아요 읽어볼것림.,집중돼요,1
13398226,ca******,2024-03-21 19:56:43.64389,"다니던 직장 퇴직 후 나태해지는 것 같아서 손에 책하나 쥘거면 이책으로..하고 구매해봤습니다.
배송한번 빠르네요.",집중돼요,4
13397488,dk****,2024-03-21 17:33:20.13271,세상 살아 가면서 자기개발에 꼭 필요한 책인것 같아요. 박문호 박사님 추천서라 더 기대됩니다.,최고예요,4
13397338,eh*******************,2024-03-21 16:57:10.801173,"이거 절판 됐었는데 출간되가지구 얼른 겟
진심 직장인인데 너무 좋더라구요
확실히 가치가 있는 책이라 소장각 입니다 
깨달음도 얻게 되었습니다",집중돼요,4
13397990,re*******,2024-03-21 19:22:50.460776,"재출간 소식에 기대하며 구매했어요 ^^ 
기다리는 시간이 설레이네요",도움돼요,4
13397624,to******,2024-03-21 18:10:24.828122,아주 예전에 읽은 책인데 기억의 저 언저리에 있었어요. 절판됐다가 다시 출간되었다고 해서 삽니다.^^,추천해요,4
13397316,al*****,2024-03-21 16:48:18.382457,"발전있는 삶을 살고 싶어 자기계발서적 구매했습니다
배송받자마자 읽고 있습니다
내용이 진부하지 않아 읽는데 어려움없이 슥슥 읽히네요",추천해요,4
13696562,gg****,2024-05-04 13:14:27.930727,읽지마세요 재미 없어요,집중돼요,1
13397254,al*****,2024-03-21 16:36:59.161517,"발전있는 삶을 살고싶어 자기계발서적 구매했습니다
배송받자마자 읽고 있습니다 진부하지 않아 읽기편합니다",도움돼요,4
13396651,he*****,2024-03-21 15:16:33.813708,추천글보고 너무 읽고싶었는데 절판되서 못읽고있었는데 다시 출간되어서 읽어보려고 합니다. 너무 기대되네요,추천해요,4
13397586,wl*******,2024-03-21 18:01:21.039754,"추천 받아서 주문했어요!
뇌과학 전문가이신 박문호 박사님 추천으로 알게 됐는데,
어떤 내용들이 관통하고 있을지 기대가 되네요",추천해요,4
13397465,k8****,2024-03-21 17:27:58.318569,"좋은 책을 만나면  좋은 친구를 만나 대화하는 느낌이 들어
깊이 빠져들게 되고 반복해서 읽게 되는데요.
열린 마음으로 읽다 보면 내 삶에 적용할 것이 꼭 발견되는 것 같아요.",집중돼요,4
13397899,rm******,2024-03-21 19:05:08.566169,절판되고 너무 아쉬웠는데 재발간 되자마자 바로주문 요즘 자극이 필요한때라 기대됩니다,집중돼요,4
13396876,st****,2024-03-21 15:52:23.741066,취직 했어도 자기계발이 필수라고 생각합니다. 평소에 읽어보고 싶었던 책이었는데 이 책을 읽고 발전있는 내가 되고 싶어질거 같습니다,추천해요,4
13690857,da******,2024-05-03 23:30:14.350292,"감사합니다.
도움돼요.
",도움돼요,2
13776086,zx*****,2024-05-16 08:55:06.620391,많은 사람들이 추천한 책이지만... 개인적으로 저는 잘 모르겠습니다.. ,집중돼요,2
13396607,lo********,2024-03-21 15:02:32.657926,믿고 보는 박문호박사님 추천서적입니다^.^ 자기계발서 좋아하시는 분들께 강추강추! ,추천해요,4
13396740,lo********,2024-03-21 15:27:53.456968,절판되었던 책이라 넘 만나보고 싶었는데 드뎌 만났네요!! 행복합니닷,집중돼요,4
